destination_country,province,worker_count
อินโดนีเซีย,นครสวรรค์,15
อินโดนีเซีย,เพชรบูรณ์,12
อินโดนีเซีย,ชลบุรี,12
อินโดนีเซีย,พิษณุโลก,12
อินโดนีเซีย,ศรีสะเกษ,12
อินโดนีเซีย,กาฬสินธุ์,9
อินโดนีเซีย,ภูเก็ต,9
อินโดนีเซีย,นนทบุรี,9
อินโดนีเซีย,ลำปาง,9
อินโดนีเซีย,พระนครศรีอยุธยา,8
อินโดนีเซีย,ร้อยเอ็ด,8
อินโดนีเซีย,พะเยา,7
อินโดนีเซีย,อุตรดิตถ์,7
อินโดนีเซีย,สุโขทัย,7
อินโดนีเซีย,มหาสารคาม,7
อินโดนีเซีย,พิจิตร,7
อินโดนีเซีย,หนองบัวลำภู,7
อินโดนีเซีย,เลย,6
อินโดนีเซีย,ลพบุรี,6
อินโดนีเซีย,นครพนม,6
อินโดนีเซีย,ฉะเชิงเทรา,6
อินโดนีเซีย,สมุทรสาคร,5
อินโดนีเซีย,น่าน,5
อินโดนีเซีย,นครปฐม,5
อินโดนีเซีย,สระแก้ว,5
อินโดนีเซีย,ตาก,4
อินโดนีเซีย,ตราด,4
อินโดนีเซีย,ลำพูน,4
อินโดนีเซีย,ยโสธร,4
อินโดนีเซีย,ประจวบคีรีขันธ์,3
อินโดนีเซีย,นครศรีธรรมราช,3
อินโดนีเซีย,สระบุรี,3
อินโดนีเซีย,สุพรรณบุรี,3
อินโดนีเซีย,กาญจนบุรี,3
อินโดนีเซีย,อำนาจเจริญ,3
อินโดนีเซีย,สงขลา,3
อินโดนีเซีย,พัทลุง,2
อินโดนีเซีย,กระบี่,2
อินโดนีเซีย,ชัยนาท,2
อินโดนีเซีย,อ่างทอง,2
อินโดนีเซีย,ตรัง,2
อินโดนีเซีย,กำแพงเพชร,2
อินโดนีเซีย,ราชบุรี,2
อินโดนีเซีย,มุกดาหาร,2
อินโดนีเซีย,เพชรบุรี,2
อินโดนีเซีย,สิงห์บุรี,1
อินโดนีเซีย,แม่ฮ่องสอน,1
อินโดนีเซีย,ปราจีนบุรี,1
อินโดนีเซีย,นครนายก,1
อินโดนีเซีย,พังงา,1
อินโดนีเซีย,จันทบุรี,1
อินโดนีเซีย,กรุงเทพมหานคร,57
อินโดนีเซีย,อุบลราชธานี,29
อินโดนีเซีย,อุดรธานี,26
อินโดนีเซีย,ศรีสะเกษ,26
อินโดนีเซีย,บุรีรัมย์,21
อินโดนีเซีย,ขอนแก่น,20
อินโดนีเซีย,ร้อยเอ็ด,19
อินโดนีเซีย,สกลนคร,18
อินโดนีเซีย,เชียงใหม่,18
อินโดนีเซีย,เพชรบูรณ์,16
อินโดนีเซีย,สมุทรปราการ,16
อินโดนีเซีย,ชัยภูมิ,15
อินโดนีเซีย,ปทุมธานี,15
อินโดนีเซีย,หนองบัวลำภู,13
อินโดนีเซีย,พิจิตร,13
อินโดนีเซีย,กาฬสินธุ์,12
อินโดนีเซีย,สุรินทร์,12
อินโดนีเซีย,เชียงราย,11
อินโดนีเซีย,นครสวรรค์,11
อินโดนีเซีย,พิษณุโลก,10
อินโดนีเซีย,นนทบุรี,10
อินโดนีเซีย,ชลบุรี,9
